,car_model,year_of_manufacture,price,fuel
0,ritz,2014,5000.0,Petrol
1,sx4,2013,7089.55,Diesel
2,ciaz,2017,10820.9,Petrol
3,wagon r,2011,4253.73,Petrol
4,swift,2014,6865.67,Diesel
5,vitara brezza,2018,13805.97,Diesel
6,ciaz,2015,10074.63,Petrol
7,s cross,2015,9701.49,Diesel
8,ciaz,2016,13059.7,Diesel
9,ciaz,2015,11119.4,Diesel
10,alto 800,2017,4253.73,Petrol
11,ciaz,2015,10223.88,Diesel
12,ciaz,2015,11194.03,Petrol
13,ertiga,2015,9104.48,Petrol
14,dzire,2009,3358.21,Petrol
15,ertiga,2016,11567.16,Diesel
16,ertiga,2015,10820.9,Diesel
17,ertiga,2016,11567.16,Diesel
18,wagon r,2015,4850.75,CNG
19,sx4,2010,3955.22,Petrol
20,alto k10,2016,4253.73,Petrol
21,ignis,2017,7313.43,Petrol
22,sx4,2011,6567.16,Petrol
23,alto k10,2014,3731.34,Petrol
24,wagon r,2013,4328.36,Petrol
25,swift,2011,4477.61,Petrol
26,swift,2013,6194.03,Petrol
27,swift,2017,8955.22,Petrol
28,alto k10,2010,2910.45,Petrol
29,ciaz,2015,11119.4,Diesel
30,fortuner,2012,22238.81,Diesel
31,fortuner,2015,34328.36,Diesel
32,innova,2017,26865.67,Diesel
33,fortuner,2013,23880.6,Diesel
34,innova,2005,4104.48,Petrol
35,corolla altis,2009,5373.13,Petrol
36,etios cross,2015,6716.42,Petrol
37,corolla altis,2010,7089.55,Petrol
38,etios g,2014,6119.4,Petrol
39,fortuner,2014,29835.82,Diesel
40,Diesel,2016,21985.07,Diesel
41,Diesel,2015,7089.55,Diesel
42,Diesel,2017,34328.36,Diesel
43,Diesel,2015,18656.72,Diesel
44,Diesel,2005,5208.96,Diesel
45,Petrol,2006,3731.34,Petrol
46,Diesel,2010,52238.81,Diesel
47,Petrol,2012,8805.97,Petrol
48,Petrol,2013,5149.25,Petrol
49,Petrol,2014,7089.55,Petrol
50,Petrol,2013,10373.13,Petrol
51,Petrol,2015,6716.42,Petrol
52,Diesel,2014,27985.07,Diesel
53,Diesel,2015,35074.63,Diesel
54,Diesel,2017,49253.73,Diesel
55,Diesel,2014,7089.55,Diesel
56,Petrol,2017,29477.61,Petrol
57,Diesel,2010,13805.97,Diesel
58,Petrol,2011,6492.54,Petrol
59,Petrol,2016,21268.66,Petrol
60,Diesel,2014,5895.52,Diesel
61,Diesel,2011,6716.42,Diesel
62,Petrol,2013,11119.4,Petrol
63,Petrol,2011,3955.22,Petrol
64,Diesel,2014,7313.43,Diesel
65,Petrol,2015,5895.52,Petrol
66,Petrol,2013,8208.96,Petrol
67,Petrol,2004,2238.81,Petrol
68,Petrol,2010,7835.82,Petrol
69,Diesel,2012,21641.79,Diesel
70,baleno,2016,8731.34,Petrol
71,alto k10,2014,3805.97,Petrol
72,sx4,2008,2910.45,Petrol
73,dzire,2014,8208.96,Diesel
74,omni,2012,1865.67,Petrol
75,ciaz,2014,11194.03,Petrol
76,ritz,2013,3955.22,Petrol
77,wagon r,2006,1567.16,Petrol
78,ertiga,2015,8656.72,Petrol
79,ciaz,2017,11567.16,Petrol
80,Diesel,2016,21985.07,Diesel
81,Diesel,2015,7089.55,Diesel
82,Diesel,2017,34328.36,Diesel
83,Diesel,2015,18656.72,Diesel
84,Diesel,2005,5208.96,Diesel
85,Petrol,2006,3731.34,Petrol
86,Diesel,2010,52238.81,Diesel
87,Petrol,2012,8805.97,Petrol
88,Petrol,2013,5149.25,Petrol
89,Petrol,2014,7089.55,Petrol
90,Petrol,2013,10373.13,Petrol
91,Petrol,2015,6716.42,Petrol
92,Diesel,2014,27985.07,Diesel
93,Diesel,2015,35074.63,Diesel
94,Diesel,2017,49253.73,Diesel
95,Diesel,2014,7089.55,Diesel
96,Petrol,2017,29477.61,Petrol
97,Diesel,2010,13805.97,Diesel
98,Petrol,2011,6492.54,Petrol
99,Petrol,2016,21268.66,Petrol
100,Diesel,2014,5895.52,Diesel
101,Diesel,2011,6716.42,Diesel
102,Petrol,2013,11119.4,Petrol
103,Petrol,2011,3955.22,Petrol
104,Diesel,2014,7313.43,Diesel
105,Petrol,2015,5895.52,Petrol
106,Petrol,2013,8208.96,Petrol
107,Petrol,2004,2238.81,Petrol
108,Petrol,2010,7835.82,Petrol
109,Diesel,2012,21641.79,Diesel
110,ritz,2012,4626.87,Diesel
111,ritz,2011,3507.46,Petrol
112,swift,2014,7388.06,Diesel
113,ertiga,2014,8955.22,Diesel
114,dzire,2014,8208.96,Diesel
115,sx4,2011,4402.99,CNG
116,dzire,2015,6940.3,Petrol
117,800,2003,522.39,Petrol
118,alto k10,2016,4477.61,Petrol
119,sx4,2003,3358.21,Petrol
120,Diesel,2016,21985.07,Diesel
121,Diesel,2015,7089.55,Diesel
122,Diesel,2017,34328.36,Diesel
123,Diesel,2015,18656.72,Diesel
124,Diesel,2005,5208.96,Diesel
125,Petrol,2006,3731.34,Petrol
126,Diesel,2010,52238.81,Diesel
127,Petrol,2012,8805.97,Petrol
128,Petrol,2013,5149.25,Petrol
129,Petrol,2014,7089.55,Petrol
130,Petrol,2013,10373.13,Petrol
131,Petrol,2015,6716.42,Petrol
132,Diesel,2014,27985.07,Diesel
133,Diesel,2015,35074.63,Diesel
134,Diesel,2017,49253.73,Diesel
135,Diesel,2014,7089.55,Diesel
136,Petrol,2017,29477.61,Petrol
137,Diesel,2010,13805.97,Diesel
138,Petrol,2011,6492.54,Petrol
139,Petrol,2016,21268.66,Petrol
140,Diesel,2014,5895.52,Diesel
141,Diesel,2011,6716.42,Diesel
142,Petrol,2013,11119.4,Petrol
143,Petrol,2011,3955.22,Petrol
144,Diesel,2014,7313.43,Diesel
145,Petrol,2015,5895.52,Petrol
146,Petrol,2013,8208.96,Petrol
147,Petrol,2004,2238.81,Petrol
148,Petrol,2010,7835.82,Petrol
149,Diesel,2012,21641.79,Diesel
